Units (15),Unit Code,Start Date,End Date,Learning Mode,Status
"Implement best practices for identity management","ICTCYS604","Combination","2024-09-23","2024-12-06","Competent"
"Evaluate an organisation's compliance with cyber security standards and law","ICTCYS606","Combination","2024-09-23","2024-12-06","Competent"
"Acquire digital forensic data","ICTCYS607","Combination","2024-07-22","2024-09-27","Competent"
"Interact with clients on a business level","ICTICT608","Combination","2024-09-23","2024-12-06","Competent"
"Manage IP, ethics and privacy in ICT environments","ICTICT618","Combination","2024-07-22","2024-09-21","Competent"
"Manage team effectiveness","BSBTWK502","Combination","2024-07-22","2024-12-06","Competent"
"Undertake penetration testing for organisations","ICTCYS603","Combination","2024-07-22","2024-12-06","Competent"
"Design and implement a security perimeter for ICT networks","ICTNWK544","Combination","2024-07-22","2024-12-06","Competent"
"Design and implement a security system","ICTNWK618","Combination","2024-07-22","2024-12-06","Competent"
"Use network tools","ICTSAS530","Combination","2024-07-22","2024-12-06","Competent"
"Apply critical thinking for complex problem solving","BSBCRT611","Combination","2024-07-22","2024-09-21","Competent"
"Implement secure encryption technologies","ICTNWK537","Combination","2024-07-22","2024-12-06","Competent"
"Plan and monitor business analysis activities in an ICT environment","ICTSAD609","Combination","2024-07-22","2024-09-21","Competent"
"Design and implement virtualised cyber security infrastructure for organisations","ICTCYS612","Combination","2024-07-22","2024-12-06","Competent"
"Perform cyber security risk assessments","ICTCYS608","Combination","2024-07-22","2024-12-06","Competent"
